shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size,abb,state,district,name,state_fips,pres_2012
2001,0.104044596,0.229580673,-0.221771751,0.582460436,0.063342551,16,AK,Alaska,1,"State House District 1 (2012), Alaska",2,0.448601119
2002,0.259322349,0.199762685,-0.188805926,0.686226594,0.50532777,7,AK,Alaska,2,"State House District 2 (2012), Alaska",2,0.362620716
2003,0.084423665,0.216669197,-0.33986501,0.562412548,-0.011410002,10,AK,Alaska,3,"State House District 3 (2012), Alaska",2,0.22630303
2004,0.306711481,0.197918233,-0.007429559,0.758156171,0.481113829,19,AK,Alaska,4,"State House District 4 (2012), Alaska",2,0.505799838
2005,-0.126384483,0.164779205,-0.46238238,0.237572275,-0.363471276,24,AK,Alaska,5,"State House District 5 (2012), Alaska",2,0.438779452
2006,0.647347759,0.239683215,0.121961847,0.929341698,1.32460199,12,AK,Alaska,6,"State House District 6 (2012), Alaska",2,0.36112269
2007,0.319691328,0.203886223,-0.142763706,0.71986502,1.036787593,9,AK,Alaska,7,"State House District 7 (2012), Alaska",2,0.233379121
2008,0.13747341,0.175724061,-0.154012576,0.497206571,0.450192411,21,AK,Alaska,8,"State House District 8 (2012), Alaska",2,0.221689826
2009,0.238283307,0.218832172,-0.117362431,0.673971514,0.69848126,9,AK,Alaska,9,"State House District 9 (2012), Alaska",2,0.290848163
2010,0.361073917,0.307594322,-0.01966748,0.969104929,0.854875406,6,AK,Alaska,10,"State House District 10 (2012), Alaska",2,0.271803324
2011,0.264776203,0.222104211,-0.115070499,0.71457077,0.278019134,10,AK,Alaska,11,"State House District 11 (2012), Alaska",2,0.268182954
2012,0.164713871,0.323359266,-0.241290696,0.785854034,0.708704817,5,AK,Alaska,12,"State House District 12 (2012), Alaska",2,0.260142544
2013,-0.03719457,0.183100879,-0.439552883,0.342839419,-0.018986272,13,AK,Alaska,13,"State House District 13 (2012), Alaska",2,0.312988525
2014,-0.103747936,0.25232925,-0.411825524,0.404344801,-0.223448281,11,AK,Alaska,14,"State House District 14 (2012), Alaska",2,0.312525131
2015,0.295688793,0.215048622,-0.205254753,0.712526089,0.810968254,6,AK,Alaska,15,"State House District 15 (2012), Alaska",2,0.438992779
