shd_fips_num,shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size2,abb,state,state_fips,pres_2008
4019,4019,0.467333853,0.07846576,0.302569717,0.610634915,0.465972983,201,AZ,Arizona,4,0.350163651
4020,4020,-0.061862045,0.077654154,-0.211502154,0.094029652,-0.096137287,203,AZ,Arizona,4,0.487073078
4021,4021,0.061523338,0.077017923,-0.091612078,0.214156022,0.059516332,219,AZ,Arizona,4,0.424736911
4022,4022,0.296770652,0.080405853,0.141949957,0.448965469,0.27370498,194,AZ,Arizona,4,0.372067876
4023,4023,0.166709165,0.109026972,-0.04654376,0.384751126,0.160877506,109,AZ,Arizona,4,0.448735433
4024,4024,0.159674714,0.103114483,-0.033946841,0.363380364,0.246894274,127,AZ,Arizona,4,0.428117726
4025,4025,0.193975539,0.092131241,0.011502551,0.362881324,0.250153684,153,AZ,Arizona,4,0.467077719
4026,4026,0.131743221,0.068967512,0.001016407,0.270666274,0.127496594,238,AZ,Arizona,4,0.454968913
4027,4027,-0.245716546,0.09666167,-0.428288626,-0.046800325,-0.286634302,129,AZ,Arizona,4,0.639465537
4028,4028,-0.323694173,0.078015344,-0.469959552,-0.164115537,-0.432932763,216,AZ,Arizona,4,0.629178658
4029,4029,-0.108732612,0.103656472,-0.293411657,0.082948909,-0.062782751,129,AZ,Arizona,4,0.599484695
4030,4030,0.14418591,0.079952717,-0.017461295,0.314078995,0.12927967,242,AZ,Arizona,4,0.426006548
5001,5001,0.101335849,0.174232207,-0.215083645,0.438292988,0.170650056,19,AR,Arkansas,5,NA
5002,5002,0.127788072,0.191201416,-0.217578985,0.516598529,-0.460322607,13,AR,Arkansas,5,NA
5003,5003,0.116027114,0.176915438,-0.192985776,0.468253416,0.533016288,15,AR,Arkansas,5,NA
5004,5004,-0.179271783,0.153334517,-0.475731648,0.099838091,-0.292547123,29,AR,Arkansas,5,NA
5005,5005,-0.016347317,0.16386614,-0.303887041,0.29968111,0.697241774,30,AR,Arkansas,5,NA
5006,5006,-0.17125448,0.159826933,-0.515356266,0.129249986,-0.217386687,27,AR,Arkansas,5,NA
5007,5007,0.146326085,0.162927335,-0.176473474,0.466866916,0.522559453,27,AR,Arkansas,5,NA
5008,5008,0.140266132,0.164037052,-0.155251451,0.464014777,0.703461535,22,AR,Arkansas,5,NA
5009,5009,-0.011490201,0.162124596,-0.326624708,0.278068517,-0.101982357,23,AR,Arkansas,5,NA
5010,5010,0.044716758,0.178927468,-0.285119686,0.380889829,0.002148148,18,AR,Arkansas,5,NA
5011,5011,-0.134928455,0.182235476,-0.483279111,0.204800925,-0.235435366,11,AR,Arkansas,5,NA
5012,5012,-0.004471988,0.163512991,-0.331733358,0.31617813,0.32065399,17,AR,Arkansas,5,0.772865854
5013,5013,-0.052865093,0.180856843,-0.406866652,0.314214636,0.287694979,10,AR,Arkansas,5,NA
5014,5014,-0.025286094,0.16454923,-0.356102224,0.283673129,-0.145986109,22,AR,Arkansas,5,NA
5015,5015,0.251045526,0.154504671,-0.040855864,0.561559493,0.447370512,24,AR,Arkansas,5,NA
5016,5016,-0.166949961,0.174774054,-0.499012661,0.159364836,0.150778232,26,AR,Arkansas,5,NA
5017,5017,-0.177372726,0.169157452,-0.517801284,0.150333852,0.025121524,16,AR,Arkansas,5,NA
5018,5018,0.305831602,0.165098338,-0.021256013,0.640923304,0.543316069,12,AR,Arkansas,5,NA
5019,5019,0.126196082,0.156889782,-0.201107433,0.41430649,-0.031019662,24,AR,Arkansas,5,NA
5020,5020,-0.025111716,0.168375781,-0.353395522,0.303320999,-0.344817847,20,AR,Arkansas,5,NA
5021,5021,0.304056754,0.151163568,-0.004951596,0.606602258,0.742342004,29,AR,Arkansas,5,NA
5022,5022,0.160975365,0.153273518,-0.145661898,0.470475263,-0.005443103,31,AR,Arkansas,5,NA
5023,5023,0.232909756,0.180263885,-0.115088119,0.588132432,0.443224554,13,AR,Arkansas,5,NA
5024,5024,0.083550675,0.134723803,-0.180655568,0.353472874,0.086446632,46,AR,Arkansas,5,NA
5025,5025,-0.048665228,0.140723584,-0.328269671,0.216459438,-0.015089009,35,AR,Arkansas,5,NA
5026,5026,-0.080124489,0.161471979,-0.404370469,0.237596998,-0.243244873,23,AR,Arkansas,5,NA
5027,5027,0.169853866,0.176540341,-0.187111949,0.503106356,0.05210392,15,AR,Arkansas,5,NA
5028,5028,0.145172581,0.16162004,-0.19228634,0.435691479,0.108487951,21,AR,Arkansas,5,NA
5029,5029,0.256579617,0.156174946,-0.061447796,0.527677824,0.282105474,25,AR,Arkansas,5,NA
5030,5030,0.436600942,0.161427673,0.13392106,0.753596395,0.594346811,32,AR,Arkansas,5,NA
5031,5031,0.195815597,0.155983305,-0.119739016,0.494359797,0.314998118,26,AR,Arkansas,5,NA
5032,5032,0.231595966,0.157113654,-0.099615883,0.530415023,0.347030524,33,AR,Arkansas,5,NA
5033,5033,-0.17140611,0.186599358,-0.509714222,0.194673943,-0.360395392,7,AR,Arkansas,5,NA
5034,5034,-0.294338478,0.171341331,-0.628381249,0.042467816,-0.227989043,13,AR,Arkansas,5,NA
5035,5035,-0.187769346,0.162300282,-0.515971922,0.118143202,-0.194296908,23,AR,Arkansas,5,NA
5036,5036,-0.566527384,0.152176651,-0.84587687,-0.252512377,-0.703532027,30,AR,Arkansas,5,NA
5037,5037,-0.19196754,0.147114365,-0.459851618,0.084085772,-0.403198636,35,AR,Arkansas,5,NA
5038,5038,-0.055317209,0.164785941,-0.356689948,0.275434836,-0.416354647,21,AR,Arkansas,5,NA
5039,5039,-0.27356907,0.169482728,-0.608738978,0.054422894,-0.299078092,21,AR,Arkansas,5,NA
5040,5040,0.053759591,0.156594342,-0.257301063,0.354888764,-0.07929803,36,AR,Arkansas,5,NA
5041,5041,0.237539735,0.137876742,-0.007026659,0.532999924,0.304129386,40,AR,Arkansas,5,NA
5042,5042,0.217820125,0.183714191,-0.11603173,0.578356784,0.312479765,17,AR,Arkansas,5,NA
5043,5043,0.037139996,0.159551502,-0.294794935,0.343638454,0.011901245,30,AR,Arkansas,5,NA
5044,5044,0.207384889,0.14318327,-0.085649673,0.470086091,0.411482173,36,AR,Arkansas,5,NA
5045,5045,0.24689109,0.158834171,-0.052570267,0.580346735,0.427103683,28,AR,Arkansas,5,NA
5046,5046,0.199616853,0.168935922,-0.109314025,0.552256073,0.445446936,18,AR,Arkansas,5,NA
5047,5047,0.323992122,0.15223298,0.020996218,0.623345901,0.41882736,29,AR,Arkansas,5,NA
5048,5048,0.270759731,0.157481903,-0.024634719,0.591760216,0.409273674,32,AR,Arkansas,5,NA
5049,5049,0.203697433,0.160799089,-0.10309165,0.533333262,0.296054849,23,AR,Arkansas,5,NA
5050,5050,0.252507434,0.171517422,-0.097071973,0.557849747,0.329884655,21,AR,Arkansas,5,NA
5051,5051,0.018149164,0.169168995,-0.314541728,0.347268364,-0.019049846,14,AR,Arkansas,5,NA
5052,5052,-0.198962226,0.161398483,-0.502275088,0.136550268,-0.311064109,23,AR,Arkansas,5,0.268571429
5053,5053,0.277764827,0.185525066,-0.109975361,0.638758177,0.744556806,11,AR,Arkansas,5,NA
5054,5054,-0.206435169,0.180774285,-0.559111704,0.12743694,0.016403101,15,AR,Arkansas,5,NA
5055,5055,-0.288484787,0.167607796,-0.577912099,0.024338821,-0.33964131,17,AR,Arkansas,5,NA
5056,5056,0.356048175,0.169288859,0.034016013,0.654437177,0.67761131,24,AR,Arkansas,5,NA
5057,5057,-0.022574932,0.169407299,-0.360076583,0.298898221,-0.47663604,16,AR,Arkansas,5,NA
5058,5058,0.220734377,0.170115,-0.112615386,0.556689553,0.196424082,18,AR,Arkansas,5,NA
5059,5059,0.080826125,0.152362036,-0.209567633,0.373778115,0.123958474,28,AR,Arkansas,5,NA
5060,5060,0.236377028,0.154318643,-0.083314703,0.499140172,0.249200266,26,AR,Arkansas,5,NA
5061,5061,0.156593622,0.148446126,-0.125582629,0.450215161,0.122707712,28,AR,Arkansas,5,NA
5062,5062,0.365096642,0.177302941,0.014570105,0.705251144,0.767874803,13,AR,Arkansas,5,NA
5063,5063,0.290320939,0.152182457,-0.009075947,0.605091038,0.5522537,34,AR,Arkansas,5,NA
5064,5064,0.048337697,0.158451634,-0.253943312,0.34592998,-0.047219461,26,AR,Arkansas,5,NA
5065,5065,-0.151912507,0.174390253,-0.511727786,0.206249816,-0.394409746,23,AR,Arkansas,5,NA
5066,5066,0.347552881,0.158111578,0.044768396,0.663221841,0.441506262,31,AR,Arkansas,5,NA
5067,5067,0.073106797,0.160594771,-0.233168742,0.363094866,0.085930469,28,AR,Arkansas,5,NA
5068,5068,0.138357248,0.156065763,-0.16983617,0.426596677,0.015433664,26,AR,Arkansas,5,NA
5069,5069,0.245555573,0.149107196,-0.037748688,0.540273419,0.23848791,32,AR,Arkansas,5,NA
5070,5070,0.289550886,0.152533675,-0.006732938,0.570509805,0.356145465,32,AR,Arkansas,5,NA
5071,5071,0.258888076,0.147073587,-0.022237952,0.54649677,0.144871979,40,AR,Arkansas,5,NA
5072,5072,0.24508193,0.14913043,-0.050353884,0.535613204,0.156586026,33,AR,Arkansas,5,NA
5073,5073,0.278029433,0.180170636,-0.059065206,0.628736135,0.08355271,19,AR,Arkansas,5,NA
5074,5074,0.200717328,0.153456363,-0.072788714,0.508847223,0.140602541,33,AR,Arkansas,5,NA
5075,5075,0.214987719,0.171449896,-0.086090712,0.525886315,0.039687877,20,AR,Arkansas,5,NA
5076,5076,0.287597865,0.181234038,-0.082680117,0.684798037,0.155935923,16,AR,Arkansas,5,NA
5077,5077,0.215202836,0.171718423,-0.09510735,0.560600954,0.153509126,17,AR,Arkansas,5,NA
