Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"WAGGNER, MATTHEW R",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,HOUSE DISTRICT 133,OPEN,1,"$11,130"
"SCHEID, LINDA",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 046,OPEN,2,"$11,107"
"BROWN, DAVE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2010,STANDARD,SENATE DISTRICT 016,CHALLENGER,2,"$11,104"
"WORKMAN, TOM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,1996,STANDARD,HOUSE DISTRICT 043A,INCUMBENT,1,"$11,101"
"LANIER, VICTORIA K",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,HOUSE DISTRICT 023,OPEN,2,"$11,086"
"MCGINN, MICHAEL G",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2002,STANDARD,SENATE DISTRICT 038,CHALLENGER,2,"$11,079"
"MURPHY, ERIN P",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,HOUSE DISTRICT 064A,OPEN,2,"$11,077"
"HAWS, LARRY W",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,HOUSE DISTRICT 015B,INCUMBENT,2,"$11,075"
"GREENFIELD, LEE",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,1996,STANDARD,HOUSE DISTRICT 062A,INCUMBENT,1,"$11,064"
"GULLOTTA, TOM",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,CT,2012,STANDARD,HOUSE DISTRICT 013,OPEN,1,"$11,060"
"JANSSEN, DENNIS",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,SENATE DISTRICT 008,CHALLENGER,2,"$11,060"
"GIMSE, JOSEPH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 013,CHALLENGER,2,"$11,055"
"WAGENIUS, JEAN",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2004,STANDARD,HOUSE DISTRICT 062B,INCUMBENT,2,"$11,048"
"STACKE, PAUL",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 014,CHALLENGER,2,"$11,046"
"RESMAN, GLENN",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 016,CHALLENGER,2,"$11,035"
"MEYER, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,WI,2000,STANDARD,SENATE DISTRICT 032,OPEN,1,"$11,025"
"TRUWE, JACK",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,SENATE DISTRICT 024,CHALLENGER,1,"$11,016"
"AUGER, PAUL L",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 053,CHALLENGER,2,"$11,012"
"ELLER, JEREMY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 026,CHALLENGER,2,"$11,011"
"MOE, ROGER D",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 002,INCUMBENT,2,"$11,010"
"REINERT, ROGER J",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 007,INCUMBENT,2,"$11,007"
"ADRIAENS, SAM",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 060,CHALLENGER,2,"$10,989"
"FREDERICKSON, DENNIS R",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,SENATE DISTRICT 023,INCUMBENT,2,"$10,980"
"SOLON, YVONNE PRETTNER",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 007,INCUMBENT,2,"$10,979"
"KOERING, PAUL E",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 012,INCUMBENT,2,"$10,979"
"SKOE, ROD",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 002,INCUMBENT,2,"$10,971"
"HAYES, TERRY",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2006,STANDARD,HOUSE DISTRICT 094,CHALLENGER,4,"$10,970"
"LARSON, CAL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 010,INCUMBENT,2,"$10,968"
"BURTON, TRAVIS",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 035,CHALLENGER,2,"$10,967"
"NEUVILLE, THOMAS M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 025,INCUMBENT,2,"$10,960"
"BAKK, THOMAS (TOM)",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 006,OPEN,2,"$10,960"
"VAN WIE, DAVID",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 105,INCUMBENT,6,"$10,945"
"BACON, DAVID E",LOST-GENERAL,LOST,GREEN,THIRD-PARTY,NM,2006,STANDARD,PUBLIC REGULATION COMMISSION DISTRICT 004,OPEN,1,"$10,921"
"PAYMAR, MICHAEL",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2004,STANDARD,HOUSE DISTRICT 064B,INCUMBENT,2,"$10,916"
"PEROVICH, PETER",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 048,CHALLENGER,1,"$10,905"
"WAUKAU, SARAH",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,WI,2000,STANDARD,ASSEMBLY DISTRICT 035,INCUMBENT,2,"$10,903"
"GILOW, JUDY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 032,CHALLENGER,2,"$10,902"
"BENNETT, ROSS",LOST-GENERAL,LOST,CONSTITUTION,THIRD-PARTY,MN,2000,STANDARD,SENATE DISTRICT 019,CHALLENGER,2,"$10,898"
"PEPPIN, JOYCE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2008,STANDARD,HOUSE DISTRICT 032A,INCUMBENT,3,"$10,898"
"FISHER, MICHAEL G",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 136,CHALLENGER,6,"$10,898"
"BERGLIN, LINDA",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 061,INCUMBENT,2,"$10,897"
"SLUSS, TERRY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 012,CHALLENGER,3,"$10,884"
"GREILING, MINDY",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,1996,STANDARD,HOUSE DISTRICT 054B,INCUMBENT,1,"$10,884"
"JOHNSON, DEAN ELTON",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 013,INCUMBENT,1,"$10,880"
"GERSTLE, JOHN HERMAN",LOST-GENERAL,LOST,NONPARTISAN,NONPARTISAN,CO-WBU,2013,STANDARD,CITY COUNCIL DISTRICT AT LARGE,CHALLENGER,7,"$10,879"
"HAKANSON, STEN",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2016,STANDARD,SENATE DISTRICT 039,CHALLENGER,1,"$10,874"
"MURPHY, JIM",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,WI,1998,STANDARD,ASSEMBLY DISTRICT 042,CHALLENGER,2,"$10,870"
"HORCH, K FREDERICK",LOST-GENERAL,LOST,GREEN INDEPENDENT,THIRD-PARTY,ME,2010,STANDARD,HOUSE DISTRICT 066,CHALLENGER,8,"$10,861"
"CLARK, TARRYL",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 016,CHALLENGER,2,"$10,857"
"HENDERSON, TIMOTHY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 038,CHALLENGER,2,"$10,851"
"ERHARDT, RON",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,1998,STANDARD,HOUSE DISTRICT 042A,INCUMBENT,1,"$10,849"
"HAUSMAN, ALICE",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,1996,STANDARD,HOUSE DISTRICT 066B,INCUMBENT,1,"$10,842"
"DAVNIE, JIM",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2008,STANDARD,HOUSE DISTRICT 062A,INCUMBENT,3,"$10,840"
"PARKER, JAMES",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2010,STANDARD,HOUSE DISTRICT 018,CHALLENGER,7,"$10,833"
"STEVENS, DAN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 008,OPEN,2,"$10,823"
"LINDNER, ARLON",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,1996,STANDARD,HOUSE DISTRICT 033A,INCUMBENT,1,"$10,820"
"HEINONEN, RAY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 040,OPEN,2,"$10,815"
"ANDERSON KELLIHER, MARGARET",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,HOUSE DISTRICT 060A,INCUMBENT,2,"$10,802"
"HAWJ, FOUNG",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 067,OPEN,2,"$10,798"
"AMOROSI, PHILIP R",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2002,STANDARD,HOUSE DISTRICT 017,OPEN,1,"$10,790"
"SHELL, GEOFFREY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2002,STANDARD,HOUSE DISTRICT 017,OPEN,1,"$10,790"
"HELM, MICHELLE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2002,STANDARD,HOUSE DISTRICT 017,OPEN,1,"$10,790"
"MURPHREE, TED",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2002,STANDARD,HOUSE DISTRICT 012,OPEN,1,"$10,790"
"ODONNELL, JOHN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2002,STANDARD,SENATE DISTRICT 001,OPEN,1,"$10,790"
"SCHOEN, DAN",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2016,STANDARD,SENATE DISTRICT 054,OPEN,1,"$10,760"
"HOLLE, PAUL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 009,CHALLENGER,1,"$10,759"
"BOOTHROYD, CAROLE J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,SENATE DISTRICT 004,CHALLENGER,3,"$10,756"
"MARKO, SHARON",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 057,OPEN,2,"$10,753"
"CARLSON, JAMES",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 051,CHALLENGER,2,"$10,751"
"LIMMER, WARREN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2016,STANDARD,SENATE DISTRICT 034,INCUMBENT,1,"$10,750"
"CLAUSEN, GREGORY DAVID (GREG)",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2016,STANDARD,SENATE DISTRICT 057,INCUMBENT,1,"$10,748"
"SHAKER, HAROLD A",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2012,STANDARD,HOUSE DISTRICT 107,CHALLENGER,1,"$10,740"
"COYNER, KEVIN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,CT,2012,STANDARD,HOUSE DISTRICT 132,OPEN,1,"$10,740"
"PAULSEN, ERIK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,HOUSE DISTRICT 042B,INCUMBENT,2,"$10,738"
"DAVNIE, JIM",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2004,STANDARD,HOUSE DISTRICT 062A,INCUMBENT,2,"$10,736"
"PIEH, WENDY",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2006,STANDARD,HOUSE DISTRICT 050,OPEN,4,"$10,729"
"BOSSIE, THOMAS J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2006,STANDARD,HOUSE DISTRICT 101,CHALLENGER,4,"$10,728"
"ROPES, SHARON ERICKSON",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 031,OPEN,1,"$10,721"
"TALLARITA, KATHLEEN M",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,CT,2012,STANDARD,HOUSE DISTRICT 058,INCUMBENT,2,"$10,720"
"ASH JR, WALTER E",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2006,STANDARD,HOUSE DISTRICT 043,INCUMBENT,4,"$10,707"
"JOHNSON, JEFF",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,HOUSE DISTRICT 034B,OPEN,2,"$10,705"
"SIMPSON, MACKENZIE PAUL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 101,CHALLENGER,7,"$10,704"
"INGEBRIGTSEN, WILLIAM G",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 011,CHALLENGER,2,"$10,695"
"BISCHOFF, JIM",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 019,CHALLENGER,1,"$10,693"
"CARLSON, JOHN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2010,STANDARD,SENATE DISTRICT 004,CHALLENGER,2,"$10,689"
"LERNER, HAROLD",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 043,OPEN,2,"$10,685"
"DENK, DIANE M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 009,CHALLENGER,4,"$10,675"
"FAY, JESSICA L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 066,INCUMBENT,4,"$10,675"
"DEVIN, MICHAEL G",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 090,INCUMBENT,4,"$10,675"
"SAUCIER, ROBERT J",PENDING-GENERAL,PENDING,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 147,CHALLENGER,4,"$10,675"
"RISEMAN, WALTER N",WON-GENERAL,WON,INDEPENDENT,THIRD-PARTY,ME,2018,STANDARD,HOUSE DISTRICT 069,OPEN,4,"$10,675"
"CASAS, OWEN DAVID",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,ME,2018,STANDARD,HOUSE DISTRICT 094,INCUMBENT,4,"$10,675"
"STOVER, HOLLY B",PENDING-GENERAL,PENDING,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 089,CHALLENGER,4,"$10,675"
"COLBURN, DORETTA M",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 071,OPEN,4,"$10,675"
"LARSEN, PEG",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,1996,STANDARD,HOUSE DISTRICT 056B,INCUMBENT,1,"$10,674"
"COREY, PATRICK W",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2018,STANDARD,HOUSE DISTRICT 025,INCUMBENT,4,"$10,673"
"CAIAZZO, CHRISTOPHER J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 028,CHALLENGER,8,"$10,673"
"STEARNS, PAUL A",PENDING-GENERAL,PENDING,REPUBLICAN,REPUBLICAN,ME,2018,STANDARD,HOUSE DISTRICT 119,INCUMBENT,4,"$10,672"
"FREEMAN, DANIEL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2002,STANDARD,SENATE DISTRICT 044,CHALLENGER,2,"$10,666"
"PARKINS, RUTH",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2016,STANDARD,HOUSE DISTRICT 113,CHALLENGER,1,"$10,665"
"CAPEHART, GARY E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 125,CHALLENGER,5,"$10,660"
"PUTNAM, JASON G",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 087,CHALLENGER,4,"$10,659"
"BAKK, THOMAS (TOM)",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 003,INCUMBENT,2,"$10,655"
"SHERAN, KATHLEEN",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 023,INCUMBENT,2,"$10,650"
"SKOGLUND, WES",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,1998,STANDARD,HOUSE DISTRICT 062B,INCUMBENT,1,"$10,644"
"BROWN, PAUL R",PENDING-GENERAL,PENDING,REPUBLICAN,REPUBLICAN,ME,2018,STANDARD,HOUSE DISTRICT 113,OPEN,4,"$10,643"
"EATON, CHRIS",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 040,INCUMBENT,2,"$10,642"
"HIGGINS, LINDA",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 058,INCUMBENT,2,"$10,637"
"PICKETT, RICHARD A",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2018,STANDARD,HOUSE DISTRICT 116,INCUMBENT,3,"$10,628"
"HOFFERT, WAYNE",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,SENATE DISTRICT 011,CHALLENGER,1,"$10,620"
"PAYMAR, MICHAEL",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2008,STANDARD,HOUSE DISTRICT 064B,INCUMBENT,2,"$10,619"
"JOHNSON, BRENDA B",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 031,OPEN,2,"$10,610"
"FISCHBACH, MICHELLE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 014,INCUMBENT,2,"$10,608"
"THOMPSON, JUDD D",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2006,STANDARD,HOUSE DISTRICT 055,INCUMBENT,3,"$10,602"
"OLSEEN, RICK",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 017,INCUMBENT,2,"$10,601"
"FAY, JESSICA L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 066,CHALLENGER,5,"$10,599"
"BLOYER, SUSAN",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,1996,STANDARD,HOUSE DISTRICT 044B,CHALLENGER,1,"$10,592"
"SCHWAB, GRACE STABELL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,SENATE DISTRICT 027,CHALLENGER,2,"$10,578"
"ZAFFKE, LYNN H",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2002,STANDARD,SENATE DISTRICT 030,CHALLENGER,2,"$10,575"
"KLEIS, DAVE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,SENATE DISTRICT 016,INCUMBENT,1,"$10,573"
"PERINO, JOHN",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 010,CHALLENGER,1,"$10,572"
"OLSON, MARY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 004,INCUMBENT,1,"$10,569"
"BUNN, JULIE",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 039,OPEN,2,"$10,568"
"MARSTON, CRAIG",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2010,STANDARD,SENATE DISTRICT 063,CHALLENGER,2,"$10,565"
"DAY, DICK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 026,INCUMBENT,2,"$10,557"
"LEPPIK, PEGGY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,1996,STANDARD,HOUSE DISTRICT 045B,INCUMBENT,1,"$10,553"
"DAVNIE, JIM",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,HOUSE DISTRICT 062A,INCUMBENT,2,"$10,552"
"WAGENIUS, JEAN",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,HOUSE DISTRICT 062B,INCUMBENT,1,"$10,548"
"HORNSTEIN, FRANK",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,HOUSE DISTRICT 060B,INCUMBENT,2,"$10,546"
"HOFFMAN, JOHN",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2012,STANDARD,SENATE DISTRICT 036,CHALLENGER,2,"$10,534"
"ORTMAN, JULIANNE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2002,STANDARD,SENATE DISTRICT 034,OPEN,2,"$10,529"
"KRUEGER, JEFFREY R",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 020,CHALLENGER,1,"$10,524"
"CHUDZIK, CARL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 032,OPEN,1,"$10,500"
"LYONS, RUTH A",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 054,CHALLENGER,4,"$10,484"
"MURPHY, ERIN P",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2008,STANDARD,HOUSE DISTRICT 064A,INCUMBENT,2,"$10,474"
"SAMS, DALLAS C",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 011,INCUMBENT,2,"$10,466"
"LEHMANN, MIKE",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2016,STANDARD,SENATE DISTRICT 049,CHALLENGER,1,"$10,457"
"ANDERSON KELLIHER, MARGARET",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2004,STANDARD,HOUSE DISTRICT 060A,INCUMBENT,2,"$10,452"
"SAUCIER, ROBERT J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 147,INCUMBENT,4,"$10,448"
"KOENEN, LYLE J",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 013,CHALLENGER,2,"$10,440"
"LANGSETH, KEITH",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2010,STANDARD,SENATE DISTRICT 009,INCUMBENT,2,"$10,438"
"FOLEY, LEO T",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 047,OPEN,4,"$10,436"
"MITCHELL, ANGELA",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,SENATE DISTRICT 032,OPEN,2,"$10,434"
"SKOGEN, DAN",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,SENATE DISTRICT 010,CHALLENGER,2,"$10,432"
"BRETON, ELIJAH TY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 065,CHALLENGER,6,"$10,429"
"PIEPHO, MARK",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2006,STANDARD,SENATE DISTRICT 023,OPEN,2,"$10,417"
"KNUDSEN, FRED",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,SENATE DISTRICT 028,CHALLENGER,1,"$10,416"
"HANN, DAVID",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2016,STANDARD,SENATE DISTRICT 048,INCUMBENT,1,"$10,410"
"PERKINS, MICHAEL D",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 077,OPEN,4,"$10,389"
"JOHNSON, DEBBIE J",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2002,STANDARD,SENATE DISTRICT 049,OPEN,2,"$10,387"
"GEDAT, ROY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2006,STANDARD,HOUSE DISTRICT 095,CHALLENGER,4,"$10,386"
