Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"DENARDIS, LESLEY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 088,CHALLENGER,3,"$25,858"
"JANOWSKI, CLAIRE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 056,INCUMBENT,2,"$25,856"
"PORTER, MARY E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 104,CHALLENGER,4,"$25,855"
"TRINKS, DONALD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,CT,2012,STANDARD,HOUSE DISTRICT 005,OPEN,2,"$25,850"
"GERMAN, DANIEL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 119,CHALLENGER,2,"$25,847"
"GRAZIANI, TED C",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 057,INCUMBENT,3,"$25,839"
"MORIN, RUSSELL A",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 028,INCUMBENT,2,"$25,830"
"GODFREY, ROBERT D (BOB)",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 110,INCUMBENT,2,"$25,825"
"HEINRICH, DEBORAH",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 101,INCUMBENT,2,"$25,822"
"PELLETIER, CHERI ANN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 013,CHALLENGER,2,"$25,818"
"CARTER, DANIEL E",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 002,CHALLENGER,2,"$25,800"
"CLEMONS JR, CHARLES (DON)",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 124,INCUMBENT,1,"$25,795"
"NICASTRO SR, FRANK N",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 079,INCUMBENT,2,"$25,788"
"COUTU, CHRISTOPHER D",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 047,INCUMBENT,5,"$25,786"
"BACKER, TERRY",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 121,INCUMBENT,2,"$25,785"
"GOCLOWSKI, DAVID G",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 102,CHALLENGER,2,"$25,780"
"ADINOLFI, ALFRED C (AL)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 103,CHALLENGER,4,"$25,778"
"MOLGANO, MICHAEL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 144,OPEN,1,"$25,776"
"TIERNEY, TERRANCE L",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 110,CHALLENGER,3,"$25,766"
"SMITH, GREGORY M",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 118,OPEN,2,"$25,766"
